Column1,Column2,Column3,Column4,Column5
Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Source Code,Main,MainPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: welcomeLabel; projectNameLabel; teamNameLabel; progressLabel; progressbar
Source Code,Main,MainPage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StartingTemplate
Source Code,ShopAssistant,AddCostPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: inputPanel; dateLabel; costTypeLabel; amountLabel; costSubmitButton; dateTextField; costAmountTextField; costTypeCombobox; costType
Source Code,ShopAssistant,AdvancedStockCheckPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: outputPanel; datePanel; selectLabel; dayLabel; monthLabel; yearLabel; productTypeLabel; modelNumberLabel; dayCombobox; monthCombobox; yearCombobox; productTypeCombobox; modelNumberCombobox; showQuantityTextField; printButton; printTextarea; day; month; year
Source Code,ShopAssistant,DailyIncomeCostPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: inputPanel; inputDatePanel; datePanel; selectLabel; dayLabel; monthLabel; yearLabel; dayCombobox; monthCombobox; yearCombobox; submitButton; printButton; showDetailsTextarea; scroll; day; month; year
Source Code,ShopAssistant,DueCheckPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: outputPanel; dateLabel; customerDueLabel; companyDueLabel; customerDueInfoLabel; companyDueInfoLabel; amountLabel; dateTextField; customerDueTextField; companyDueTextField; customerAmountTextField; companyAmountTextField; customerDueIdCombobox; companyDueIdCombobox; customerSubmitButton; companySubmitButton
Source Code,ShopAssistant,DueCheckPage,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
Source Code,ShopAssistant,HomePage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: searchPanel; inputPanel; searchLabel; searchTextField; searchButton; clearButton; printButton; showDetailsEditorpane; scroll; HTMLText
Source Code,ShopAssistant,LoginPage,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StartingTemplate
Source Code,ShopAssistant,SettingsPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: centerPanel; passwordChangeAddNewStaffPanel; addNewModelRemoveMemberPanel; passwordChangeLabel; oldPasswordLabel; newPasswordLabel; newModelAddLabel; selectCategoryLabel; modelNameLabel; addNewMemberLabel; memberNameLabel; removeMemberLabel; selectMemberLabel; oldPasswordTextField; newPasswordTextField_1; newPasswordTextField_2; modelNameTextField_1; modelNameTextField_2; memberNameTextField; passwordSubmitButton; addModelButton; addMemberButton; removeMemberButton; productTypeCombobox; memberNameCombobox; passwordSectionVisibility; addNewMemberSectionVisibility; addNewModelSectionVisibility; removeModelSectionVisibility
Source Code,ShopAssistant,SettingsPage,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
Source Code,ShopAssistant,StaffAttendancePage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dateLabel; selectMemberLabel; centerPanel; inputPanel; dateTextField; outputTextarea; scroll; memberNameCombobox; presentRadioButton; absentRadioButton; attendenceButtonGroup; submitButton; showDetailsButton; printButton
Source Code,ShopAssistant,StockCheckPage,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: outputPanel; productTypeLabel; modelNumberLabel; showQuantityTextField; productTypeCombobox; modelNumberCombobox
Source Code,Templates,DashBoardTemplate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: horizontalPanel; verticalPanel; mainPanel; shopNameButton; createSalesInvoiceButton; createPurchaseInvoiceButton; logoutButton; homeButton; addCostButton; dailyIncomeCostButton; stockCheckButton; advancedStockCheckButton; dueCheckButton; staffAttendanceButton; settingsButton; horizontalPanelButtons; verticalPanelButtons
Source Code,Templates,DashBoardTemplate,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: AddCostPage
Source Code,Templates,FrameSetup,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: container; nullLabel; displayPicture; loginButtonIcon; shopNameButtonIcon; createSalesInvoiceButtonIcon; createPurchaseInvoiceButtonIcon; logoutButtonIcon; homeButtonIcon; addCostButtonIcon; dailyIncomeCostButtonIcon; stockCheckButtonIcon; dueCheckButtonIcon; staffAttendanceButtonIcon; settingsButtonIcon; clearButtonIcon; addToCartButtonIcon; printButtonIcon; deleteButtonIcon
Source Code,Templates,InvoiceGeneratorTemplate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: horizontalPanelTop; mainPanel; horizontalPanelBottom; inputPanel; outputPanel; totalInformationPanel; dateLabel; idLabel; nameLabel; addressLabel; mobileNumberLabel; productTypeLabel; modelNumberLabel; quantityLabel; unitPriceLabel; paymentLabel; paidLabel; dueLabel; subtotalLabel; discountLabel; totalPaymentLabel; totalPaidLabel; totalDueLabel; dateTextField; idTextField; nameTextField; addressTextField; mobileNumberTextField; quantityTextField; unitPriceTextField; paymentTextField; subtotalTextField; discountTextField; totalPaymentTextField; totalPaidTextField; totalDueTextField; homeButton; createSalesInvoiceButton; createPurchaseInvoiceButton; logoutButton; clearButton; addToCartButton; printButton; deleteButton; cartEditorPane; scroll; horizontalPanelTopButtons; horizontalPanelBottomButtons; productTypeCombobox; modelNumberCombobox; subtotal; totalPayment; totalPaid; totalDue; serialNo; htmlText; rawData; font
Source Code,Templates,InvoiceGeneratorTemplate,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: CreatePurchaseInvoicePage
Source Code,Templates,InvoiceGeneratorTemplate,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 45 public methods
Source Code,Templates,StartingTemplate,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: mainPanel; picturePanel; componentPanel; pictureLabel; nullLabel
