Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
Source Code,Main,MainPage,MainPage,3,1,0,19,0,Main.MainPage,Main.MainPage
Source Code,Main,MainPage,setComponentPanel,41,1,0,27,0,,
Source Code,Main,MainPage,main,30,4,1,84,0,,
Source Code,ShopAssistant,AddCostPage,AddCostPage,6,1,0,33,0,ShopAssistant.AddCostPage,ShopAssistant.AddCostPage
Source Code,ShopAssistant,AddCostPage,setPageButton,5,1,0,44,0,Templates.DashBoardTemplate,Templates.DashBoardTemplate
Source Code,ShopAssistant,AddCostPage,setMainPanel,16,1,0,54,0,,
Source Code,ShopAssistant,AddCostPage,setInputPanel,31,1,0,80,0,Templates.FrameSetup,Templates.FrameSetup
Source Code,ShopAssistant,AddCostPage,setAddCostFeatures,55,5,0,127,0,Templates.FrameSetup,Templates.FrameSetup
Source Code,ShopAssistant,AddCostPage,actionPerformed,10,2,1,134,0,,
Source Code,ShopAssistant,AddCostPage,keyTyped,2,1,1,151,0,,
Source Code,ShopAssistant,AddCostPage,keyPressed,6,2,1,154,0,Templates.FrameSetup,Templates.FrameSetup
Source Code,ShopAssistant,AddCostPage,keyReleased,10,2,1,163,0,,
Source Code,ShopAssistant,AddCostPage,actionPerformed,16,2,1,178,0,,
Source Code,ShopAssistant,AddCostPage,main,4,1,1,204,0,,
Source Code,ShopAssistant,AdvancedStockCheckPage,AdvancedStockCheckPage,6,1,0,38,0,ShopAssistant.AdvancedStockCheckPage,ShopAssistant.AdvancedStockCheckPage
Source Code,ShopAssistant,AdvancedStockCheckPage,setPageButton,5,1,0,49,0,Templates.DashBoardTemplate,Templates.DashBoardTemplate
Source Code,ShopAssistant,AdvancedStockCheckPage,setMainPanel,16,1,0,59,0,,
Source Code,ShopAssistant,AdvancedStockCheckPage,setOutputPanel,49,1,0,85,0,ShopAssistant.AdvancedStockCheckPage,ShopAssistant.AdvancedStockCheckPage; Templates.FrameSetup
Source Code,ShopAssistant,AdvancedStockCheckPage,setManualDate,33,6,0,153,0,,
Source Code,ShopAssistant,AdvancedStockCheckPage,setAdvancedStockCheckFeatures,31,4,0,203,0,ShopAssistant.AdvancedStockCheckPage,ShopAssistant.AdvancedStockCheckPage
Source Code,ShopAssistant,AdvancedStockCheckPage,actionPerformed,11,3,1,210,0,ShopAssistant.AdvancedStockCheckPage,ShopAssistant.AdvancedStockCheckPage
Source Code,ShopAssistant,AdvancedStockCheckPage,actionPerformed,12,2,1,230,0,,
Source Code,ShopAssistant,AdvancedStockCheckPage,setModelNumberCombobox,46,7,1,249,0,Templates.FrameSetup,Templates.FrameSetup
Source Code,ShopAssistant,AdvancedStockCheckPage,main,4,1,1,311,0,,
Source Code,ShopAssistant,CreatePurchaseInvoicePage,CreatePurchaseInvoicePage,5,1,2,13,0,ShopAssistant.CreatePurchaseInvoicePage,ShopAssistant.CreatePurchaseInvoicePage
Source Code,ShopAssistant,CreatePurchaseInvoicePage,setPageButton,5,1,0,26,0,Templates.InvoiceGeneratorTemplate,Templates.InvoiceGeneratorTemplate
Source Code,ShopAssistant,CreatePurchaseInvoicePage,setQuantityTextFieldListener,23,3,0,36,0,Templates.FrameSetup,Templates.FrameSetup; Templates.InvoiceGeneratorTemplate
Source Code,ShopAssistant,CreatePurchaseInvoicePage,keyTyped,2,1,1,43,0,,
Source Code,ShopAssistant,CreatePurchaseInvoicePage,keyPressed,2,1,1,45,0,,
Source Code,ShopAssistant,CreatePurchaseInvoicePage,keyReleased,14,3,1,47,0,Templates.FrameSetup,Templates.FrameSetup; Templates.InvoiceGeneratorTemplate
Source Code,ShopAssistant,CreatePurchaseInvoicePage,main,4,1,1,71,0,,
Source Code,ShopAssistant,CreateSalesInvoicePage,CreateSalesInvoicePage,5,1,2,13,0,ShopAssistant.CreateSalesInvoicePage,ShopAssistant.CreateSalesInvoicePage
Source Code,ShopAssistant,CreateSalesInvoicePage,setPageButton,5,1,0,26,0,Templates.InvoiceGeneratorTemplate,Templates.InvoiceGeneratorTemplate
Source Code,ShopAssistant,CreateSalesInvoicePage,setQuantityTextFieldListener,42,5,0,36,0,Templates.FrameSetup,Templates.FrameSetup; Templates.InvoiceGeneratorTemplate
Source Code,ShopAssistant,CreateSalesInvoicePage,keyTyped,2,1,1,43,0,,
Source Code,ShopAssistant,CreateSalesInvoicePage,keyPressed,2,1,1,45,0,,
Source Code,ShopAssistant,CreateSalesInvoicePage,keyReleased,33,5,1,47,0,Templates.FrameSetup,Templates.FrameSetup; Templates.InvoiceGeneratorTemplate
